met,split,value,src,trg,model
mse,0,0.005018433953732913,CCLE,CCLE,deepttc
mse,1,0.005681486491596638,CCLE,CCLE,deepttc
mse,2,0.005551895283613445,CCLE,CCLE,deepttc
mse,3,0.005499687457983193,CCLE,CCLE,deepttc
mse,4,0.005499330294117647,CCLE,CCLE,deepttc
mse,5,0.005247022720588236,CCLE,CCLE,deepttc
mse,6,0.005886992132352941,CCLE,CCLE,deepttc
mse,7,0.004737854275210084,CCLE,CCLE,deepttc
mse,8,0.0057451829201680665,CCLE,CCLE,deepttc
mse,9,0.005623506995798319,CCLE,CCLE,deepttc
rmse,0,0.07084090593529217,CCLE,CCLE,deepttc
rmse,1,0.07537563592830669,CCLE,CCLE,deepttc
rmse,2,0.07451104135370439,CCLE,CCLE,deepttc
rmse,3,0.07415987768317309,CCLE,CCLE,deepttc
rmse,4,0.07415746957736387,CCLE,CCLE,deepttc
rmse,5,0.07243633563749782,CCLE,CCLE,deepttc
rmse,6,0.07672673675032023,CCLE,CCLE,deepttc
rmse,7,0.06883207301258683,CCLE,CCLE,deepttc
rmse,8,0.07579698490156496,CCLE,CCLE,deepttc
rmse,9,0.07499004597810512,CCLE,CCLE,deepttc
pcc,0,0.9040291035640136,CCLE,CCLE,deepttc
pcc,1,0.8814895222656751,CCLE,CCLE,deepttc
pcc,2,0.8911429515618773,CCLE,CCLE,deepttc
pcc,3,0.8984102879151956,CCLE,CCLE,deepttc
pcc,4,0.891451640197408,CCLE,CCLE,deepttc
pcc,5,0.8903206385739476,CCLE,CCLE,deepttc
pcc,6,0.8809285380153729,CCLE,CCLE,deepttc
pcc,7,0.9039298783900357,CCLE,CCLE,deepttc
pcc,8,0.8910208461882506,CCLE,CCLE,deepttc
pcc,9,0.8845219770185098,CCLE,CCLE,deepttc
scc,0,0.8176997479714095,CCLE,CCLE,deepttc
scc,1,0.7937007277441412,CCLE,CCLE,deepttc
scc,2,0.7915052812111291,CCLE,CCLE,deepttc
scc,3,0.801484181409876,CCLE,CCLE,deepttc
scc,4,0.8200051360978674,CCLE,CCLE,deepttc
scc,5,0.786963517587688,CCLE,CCLE,deepttc
scc,6,0.7957326651508949,CCLE,CCLE,deepttc
scc,7,0.8165684368919999,CCLE,CCLE,deepttc
scc,8,0.829963410949451,CCLE,CCLE,deepttc
scc,9,0.7696963205416231,CCLE,CCLE,deepttc
r2,0,0.8156800705526281,CCLE,CCLE,deepttc
r2,1,0.7723917570162938,CCLE,CCLE,deepttc
r2,2,0.7933948973542225,CCLE,CCLE,deepttc
r2,3,0.8039527734903469,CCLE,CCLE,deepttc
r2,4,0.780990102237397,CCLE,CCLE,deepttc
r2,5,0.7896867263250708,CCLE,CCLE,deepttc
r2,6,0.7678905379640921,CCLE,CCLE,deepttc
r2,7,0.8136768224270476,CCLE,CCLE,deepttc
r2,8,0.7930414786651905,CCLE,CCLE,deepttc
r2,9,0.7641822593924387,CCLE,CCLE,deepttc
mse,0,0.025631914351246225,CCLE,CTRPv2,deepttc
mse,1,0.025515875700033143,CCLE,CTRPv2,deepttc
mse,2,0.024605876374967306,CCLE,CTRPv2,deepttc
mse,3,0.025339214358641622,CCLE,CTRPv2,deepttc
mse,4,0.02502780253215426,CCLE,CTRPv2,deepttc
mse,5,0.023668809217204753,CCLE,CTRPv2,deepttc
mse,6,0.025481479978930112,CCLE,CTRPv2,deepttc
mse,7,0.026040719312507628,CCLE,CTRPv2,deepttc
mse,8,0.02504440884876075,CCLE,CTRPv2,deepttc
mse,9,0.026899822874330664,CCLE,CTRPv2,deepttc
rmse,0,0.16009970128406306,CCLE,CTRPv2,deepttc
rmse,1,0.1597368952372405,CCLE,CTRPv2,deepttc
rmse,2,0.15686260349416398,CCLE,CTRPv2,deepttc
rmse,3,0.15918295875702781,CCLE,CTRPv2,deepttc
rmse,4,0.15820177790453008,CCLE,CTRPv2,deepttc
rmse,5,0.15384670687799837,CCLE,CTRPv2,deepttc
rmse,6,0.1596291952586685,CCLE,CTRPv2,deepttc
rmse,7,0.16137137079577538,CCLE,CTRPv2,deepttc
rmse,8,0.1582542538093708,CCLE,CTRPv2,deepttc
rmse,9,0.1640116546905453,CCLE,CTRPv2,deepttc
pcc,0,0.1884824802712377,CCLE,CTRPv2,deepttc
pcc,1,0.1818473551130733,CCLE,CTRPv2,deepttc
pcc,2,0.17038860137090134,CCLE,CTRPv2,deepttc
pcc,3,0.1677316758850796,CCLE,CTRPv2,deepttc
pcc,4,0.18464638090452465,CCLE,CTRPv2,deepttc
pcc,5,0.19095578799700624,CCLE,CTRPv2,deepttc
pcc,6,0.19640463955736526,CCLE,CTRPv2,deepttc
pcc,7,0.18844914724470818,CCLE,CTRPv2,deepttc
pcc,8,0.17115591141908654,CCLE,CTRPv2,deepttc
pcc,9,0.17513898155912935,CCLE,CTRPv2,deepttc
scc,0,0.09158149147459076,CCLE,CTRPv2,deepttc
scc,1,0.10286768587493451,CCLE,CTRPv2,deepttc
scc,2,0.07593101566604794,CCLE,CTRPv2,deepttc
scc,3,0.07591497262662791,CCLE,CTRPv2,deepttc
scc,4,0.09086388730775713,CCLE,CTRPv2,deepttc
scc,5,0.10197183352040456,CCLE,CTRPv2,deepttc
scc,6,0.09825106379542978,CCLE,CTRPv2,deepttc
scc,7,0.10054875358975665,CCLE,CTRPv2,deepttc
scc,8,0.08586989978791654,CCLE,CTRPv2,deepttc
scc,9,0.08404219568629163,CCLE,CTRPv2,deepttc
r2,0,-0.22764090861021513,CCLE,CTRPv2,deepttc
r2,1,-0.22208323573190336,CCLE,CTRPv2,deepttc
r2,2,-0.17849880489503178,CCLE,CTRPv2,deepttc
r2,3,-0.21362203823060777,CCLE,CTRPv2,deepttc
r2,4,-0.1987069642965249,CCLE,CTRPv2,deepttc
r2,5,-0.13361795981962366,CCLE,CTRPv2,deepttc
r2,6,-0.22043585217215078,CCLE,CTRPv2,deepttc
r2,7,-0.24722062814306045,CCLE,CTRPv2,deepttc
r2,8,-0.19950232407059776,CCLE,CTRPv2,deepttc
r2,9,-0.28836740566322727,CCLE,CTRPv2,deepttc
mse,0,0.026066819427707347,CCLE,GDSCv1,deepttc
mse,1,0.026133037942305457,CCLE,GDSCv1,deepttc
mse,2,0.025885203162382225,CCLE,GDSCv1,deepttc
mse,3,0.02677671776823311,CCLE,GDSCv1,deepttc
mse,4,0.02659530826904735,CCLE,GDSCv1,deepttc
mse,5,0.02561805585832267,CCLE,GDSCv1,deepttc
mse,6,0.025956473933232523,CCLE,GDSCv1,deepttc
mse,7,0.026383766076945446,CCLE,GDSCv1,deepttc
mse,8,0.026159127352041414,CCLE,GDSCv1,deepttc
mse,9,0.02689327113301152,CCLE,GDSCv1,deepttc
rmse,0,0.16145222026255118,CCLE,GDSCv1,deepttc
rmse,1,0.16165716174146277,CCLE,GDSCv1,deepttc
rmse,2,0.16088879128883474,CCLE,GDSCv1,deepttc
rmse,3,0.16363593055387657,CCLE,GDSCv1,deepttc
rmse,4,0.16308068024461803,CCLE,GDSCv1,deepttc
rmse,5,0.16005641461160708,CCLE,GDSCv1,deepttc
rmse,6,0.1611101298281164,CCLE,GDSCv1,deepttc
rmse,7,0.1624308039657055,CCLE,GDSCv1,deepttc
rmse,8,0.16173783525211846,CCLE,GDSCv1,deepttc
rmse,9,0.16399168007253148,CCLE,GDSCv1,deepttc
pcc,0,0.27207855157399585,CCLE,GDSCv1,deepttc
pcc,1,0.2750475198910844,CCLE,GDSCv1,deepttc
pcc,2,0.26020037384327477,CCLE,GDSCv1,deepttc
pcc,3,0.24450022235637872,CCLE,GDSCv1,deepttc
pcc,4,0.26615443934942085,CCLE,GDSCv1,deepttc
pcc,5,0.2631218324947928,CCLE,GDSCv1,deepttc
pcc,6,0.2801041111542,CCLE,GDSCv1,deepttc
pcc,7,0.2721295342151062,CCLE,GDSCv1,deepttc
pcc,8,0.2583577894918922,CCLE,GDSCv1,deepttc
pcc,9,0.2683256842495857,CCLE,GDSCv1,deepttc
scc,0,0.14811444277730743,CCLE,GDSCv1,deepttc
scc,1,0.16702870609350423,CCLE,GDSCv1,deepttc
scc,2,0.14964869976904466,CCLE,GDSCv1,deepttc
scc,3,0.13566865221730506,CCLE,GDSCv1,deepttc
scc,4,0.1607320408403818,CCLE,GDSCv1,deepttc
scc,5,0.15455683826065592,CCLE,GDSCv1,deepttc
scc,6,0.16353209493417734,CCLE,GDSCv1,deepttc
scc,7,0.16337145313899626,CCLE,GDSCv1,deepttc
scc,8,0.14474680667686607,CCLE,GDSCv1,deepttc
scc,9,0.1577109527116374,CCLE,GDSCv1,deepttc
r2,0,0.025709494226628715,CCLE,GDSCv1,deepttc
r2,1,0.023234467679631665,CCLE,GDSCv1,deepttc
r2,2,0.03249770264196761,CCLE,GDSCv1,deepttc
r2,3,-0.0008241308347911591,CCLE,GDSCv1,deepttc
r2,4,0.005956349353977819,CCLE,GDSCv1,deepttc
r2,5,0.042482775148033114,CCLE,GDSCv1,deepttc
r2,6,0.029833839658178096,CCLE,GDSCv1,deepttc
r2,7,0.013863088797467227,CCLE,GDSCv1,deepttc
r2,8,0.022259332823709843,CCLE,GDSCv1,deepttc
r2,9,-0.0051805056903611035,CCLE,GDSCv1,deepttc
mse,0,0.022460019361763367,CCLE,GDSCv2,deepttc
mse,1,0.02260863820252259,CCLE,GDSCv2,deepttc
mse,2,0.021991174631118944,CCLE,GDSCv2,deepttc
mse,3,0.022957744685809987,CCLE,GDSCv2,deepttc
mse,4,0.0228210677116116,CCLE,GDSCv2,deepttc
