met,split,value,src,trg,model
mse,0,0.005312790851735015,CCLE,CCLE,lgbm
mse,1,0.0046247458088235285,CCLE,CCLE,lgbm
mse,2,0.005113193413865547,CCLE,CCLE,lgbm
mse,3,0.005177481228991597,CCLE,CCLE,lgbm
mse,4,0.004897039390756303,CCLE,CCLE,lgbm
mse,5,0.004894359411764706,CCLE,CCLE,lgbm
mse,6,0.005513449789915966,CCLE,CCLE,lgbm
mse,7,0.005301156649159664,CCLE,CCLE,lgbm
mse,8,0.005851084264705882,CCLE,CCLE,lgbm
mse,9,0.004841127079831933,CCLE,CCLE,lgbm
rmse,0,0.07288889388469971,CCLE,CCLE,lgbm
rmse,1,0.06800548366730089,CCLE,CCLE,lgbm
rmse,2,0.07150659699542097,CCLE,CCLE,lgbm
rmse,3,0.07195471651665092,CCLE,CCLE,lgbm
rmse,4,0.06997884959583361,CCLE,CCLE,lgbm
rmse,5,0.0699596984825171,CCLE,CCLE,lgbm
rmse,6,0.07425260796710083,CCLE,CCLE,lgbm
rmse,7,0.07280904235848501,CCLE,CCLE,lgbm
rmse,8,0.07649238043560863,CCLE,CCLE,lgbm
rmse,9,0.06957820836894216,CCLE,CCLE,lgbm
pcc,0,0.897592216116407,CCLE,CCLE,lgbm
pcc,1,0.9026421016695962,CCLE,CCLE,lgbm
pcc,2,0.899986295263687,CCLE,CCLE,lgbm
pcc,3,0.9034164398154044,CCLE,CCLE,lgbm
pcc,4,0.8972919415737042,CCLE,CCLE,lgbm
pcc,5,0.8966288612370249,CCLE,CCLE,lgbm
pcc,6,0.8846811721478863,CCLE,CCLE,lgbm
pcc,7,0.8902552339958434,CCLE,CCLE,lgbm
pcc,8,0.8884235355577048,CCLE,CCLE,lgbm
pcc,9,0.893109530220864,CCLE,CCLE,lgbm
scc,0,0.8139054217094948,CCLE,CCLE,lgbm
scc,1,0.8105841167022548,CCLE,CCLE,lgbm
scc,2,0.8168625296979694,CCLE,CCLE,lgbm
scc,3,0.8128407721420519,CCLE,CCLE,lgbm
scc,4,0.8210205100277228,CCLE,CCLE,lgbm
scc,5,0.7868419809127415,CCLE,CCLE,lgbm
scc,6,0.8159259791522037,CCLE,CCLE,lgbm
scc,7,0.8045701907474432,CCLE,CCLE,lgbm
scc,8,0.8342060724916212,CCLE,CCLE,lgbm
scc,9,0.7986482672769072,CCLE,CCLE,lgbm
r2,0,0.804868761054027,CCLE,CCLE,lgbm
r2,1,0.814726257054469,CCLE,CCLE,lgbm
r2,2,0.8097205015308142,CCLE,CCLE,lgbm
r2,3,0.8154384511839482,CCLE,CCLE,lgbm
r2,4,0.8049762354779497,CCLE,CCLE,lgbm
r2,5,0.8038223188188258,CCLE,CCLE,lgbm
r2,6,0.7826183837300462,CCLE,CCLE,lgbm
r2,7,0.7915241173939197,CCLE,CCLE,lgbm
r2,8,0.7892265982727881,CCLE,CCLE,lgbm
r2,9,0.7969908011472152,CCLE,CCLE,lgbm
mse,0,0.043292458652678195,CCLE,CTRPv2,lgbm
mse,1,0.042914495406589565,CCLE,CTRPv2,lgbm
mse,2,0.044415645630823425,CCLE,CTRPv2,lgbm
mse,3,0.04450560118619295,CCLE,CTRPv2,lgbm
mse,4,0.043469560908377364,CCLE,CTRPv2,lgbm
mse,5,0.04289849465236425,CCLE,CTRPv2,lgbm
mse,6,0.044035670294176134,CCLE,CTRPv2,lgbm
mse,7,0.042913900110930873,CCLE,CTRPv2,lgbm
mse,8,0.04321312565928871,CCLE,CTRPv2,lgbm
mse,9,0.04288656946592713,CCLE,CTRPv2,lgbm
rmse,0,0.20806839897658222,CCLE,CTRPv2,lgbm
rmse,1,0.2071581410579598,CCLE,CTRPv2,lgbm
rmse,2,0.21075019722606056,CCLE,CTRPv2,lgbm
rmse,3,0.21096350676406797,CCLE,CTRPv2,lgbm
rmse,4,0.2084935512393066,CCLE,CTRPv2,lgbm
rmse,5,0.2071195177967645,CCLE,CTRPv2,lgbm
rmse,6,0.20984677813627764,CCLE,CTRPv2,lgbm
rmse,7,0.20715670423843607,CCLE,CTRPv2,lgbm
rmse,8,0.20787766993905024,CCLE,CTRPv2,lgbm
rmse,9,0.207090727619387,CCLE,CTRPv2,lgbm
pcc,0,0.13234633628360526,CCLE,CTRPv2,lgbm
pcc,1,0.13361479322162545,CCLE,CTRPv2,lgbm
pcc,2,0.12839410610190916,CCLE,CTRPv2,lgbm
pcc,3,0.13349399117122102,CCLE,CTRPv2,lgbm
pcc,4,0.13446667352420405,CCLE,CTRPv2,lgbm
pcc,5,0.13506493069389294,CCLE,CTRPv2,lgbm
pcc,6,0.12937220515855186,CCLE,CTRPv2,lgbm
pcc,7,0.1337281006368507,CCLE,CTRPv2,lgbm
pcc,8,0.13492773761957594,CCLE,CTRPv2,lgbm
pcc,9,0.134747117721988,CCLE,CTRPv2,lgbm
scc,0,0.09290899331396958,CCLE,CTRPv2,lgbm
scc,1,0.09334407494944197,CCLE,CTRPv2,lgbm
scc,2,0.08992504175345929,CCLE,CTRPv2,lgbm
scc,3,0.09487918570697562,CCLE,CTRPv2,lgbm
scc,4,0.09378564095188115,CCLE,CTRPv2,lgbm
scc,5,0.0950168447941508,CCLE,CTRPv2,lgbm
scc,6,0.09158252897328197,CCLE,CTRPv2,lgbm
scc,7,0.09352820893552535,CCLE,CTRPv2,lgbm
scc,8,0.0952629892082946,CCLE,CTRPv2,lgbm
scc,9,0.09280579528461882,CCLE,CTRPv2,lgbm
r2,0,-1.0734929333813095,CCLE,CTRPv2,lgbm
r2,1,-1.0553903782427798,CCLE,CTRPv2,lgbm
r2,2,-1.1272879899461086,CCLE,CTRPv2,lgbm
r2,3,-1.1315964125717093,CCLE,CTRPv2,lgbm
r2,4,-1.081975248479747,CCLE,CTRPv2,lgbm
r2,5,-1.0546240218877125,CCLE,CTRPv2,lgbm
r2,6,-1.1090890657011672,CCLE,CTRPv2,lgbm
r2,7,-1.055361866548595,CCLE,CTRPv2,lgbm
r2,8,-1.0696932785153943,CCLE,CTRPv2,lgbm
r2,9,-1.0540528649108127,CCLE,CTRPv2,lgbm
mse,0,0.04117400717884146,CCLE,GDSCv1,lgbm
mse,1,0.04112383269279982,CCLE,GDSCv1,lgbm
mse,2,0.04220680622420611,CCLE,GDSCv1,lgbm
mse,3,0.04215894459997673,CCLE,GDSCv1,lgbm
mse,4,0.04134215180173316,CCLE,GDSCv1,lgbm
mse,5,0.04112644779649878,CCLE,GDSCv1,lgbm
mse,6,0.0421421669241596,CCLE,GDSCv1,lgbm
mse,7,0.04079845756002094,CCLE,GDSCv1,lgbm
mse,8,0.041372044129347446,CCLE,GDSCv1,lgbm
mse,9,0.04089880193608235,CCLE,GDSCv1,lgbm
rmse,0,0.20291379248055433,CCLE,GDSCv1,lgbm
rmse,1,0.2027901198106057,CCLE,GDSCv1,lgbm
rmse,2,0.20544295126435005,CCLE,GDSCv1,lgbm
rmse,3,0.20532643424551242,CCLE,GDSCv1,lgbm
rmse,4,0.20332769560916475,CCLE,GDSCv1,lgbm
rmse,5,0.20279656751656025,CCLE,GDSCv1,lgbm
rmse,6,0.20528557407708803,CCLE,GDSCv1,lgbm
rmse,7,0.20198628062326646,CCLE,GDSCv1,lgbm
rmse,8,0.2034011900883263,CCLE,GDSCv1,lgbm
rmse,9,0.2022345221174722,CCLE,GDSCv1,lgbm
pcc,0,0.1029295851029071,CCLE,GDSCv1,lgbm
pcc,1,0.1039752339702685,CCLE,GDSCv1,lgbm
pcc,2,0.10060725688632964,CCLE,GDSCv1,lgbm
pcc,3,0.104739150871927,CCLE,GDSCv1,lgbm
pcc,4,0.10532829178731375,CCLE,GDSCv1,lgbm
pcc,5,0.10551230411714364,CCLE,GDSCv1,lgbm
pcc,6,0.09967844786299294,CCLE,GDSCv1,lgbm
pcc,7,0.10873284922433622,CCLE,GDSCv1,lgbm
pcc,8,0.10420348511114946,CCLE,GDSCv1,lgbm
pcc,9,0.10495838289847305,CCLE,GDSCv1,lgbm
scc,0,0.061408264261884345,CCLE,GDSCv1,lgbm
scc,1,0.06123308562434091,CCLE,GDSCv1,lgbm
scc,2,0.06104768784983309,CCLE,GDSCv1,lgbm
scc,3,0.06414818311105276,CCLE,GDSCv1,lgbm
scc,4,0.06211182444710006,CCLE,GDSCv1,lgbm
scc,5,0.062322093979226674,CCLE,GDSCv1,lgbm
scc,6,0.059915765684942356,CCLE,GDSCv1,lgbm
scc,7,0.06941549813691517,CCLE,GDSCv1,lgbm
scc,8,0.06344411537718381,CCLE,GDSCv1,lgbm
scc,9,0.05918672465320588,CCLE,GDSCv1,lgbm
r2,0,-0.5389466440370454,CCLE,GDSCv1,lgbm
r2,1,-0.5370712896034902,CCLE,GDSCv1,lgbm
r2,2,-0.5775492172071734,CCLE,GDSCv1,lgbm
r2,3,-0.5757603098106683,CCLE,GDSCv1,lgbm
r2,4,-0.5452313275265126,CCLE,GDSCv1,lgbm
r2,5,-0.5371690334311401,CCLE,GDSCv1,lgbm
r2,6,-0.5751332164169807,CCLE,GDSCv1,lgbm
r2,7,-0.5249098556563838,CCLE,GDSCv1,lgbm
r2,8,-0.5463486027303721,CCLE,GDSCv1,lgbm
r2,9,-0.5286603927395719,CCLE,GDSCv1,lgbm
mse,0,0.035913762584435294,CCLE,GDSCv2,lgbm
mse,1,0.036013701470028955,CCLE,GDSCv2,lgbm
