met,split,value,src,trg,model
mse,0,0.005245522208201892,CCLE,CCLE,uno
mse,1,0.005343257163865547,CCLE,CCLE,uno
mse,2,0.005194642373949581,CCLE,CCLE,uno
mse,3,0.005225015472689076,CCLE,CCLE,uno
mse,4,0.005357983550420168,CCLE,CCLE,uno
mse,5,0.005461117836134454,CCLE,CCLE,uno
mse,6,0.005433396544117647,CCLE,CCLE,uno
mse,7,0.004893297363445378,CCLE,CCLE,uno
mse,8,0.005622177426470589,CCLE,CCLE,uno
mse,9,0.005037970462184874,CCLE,CCLE,uno
rmse,0,0.0724259774404315,CCLE,CCLE,uno
rmse,1,0.07309758658030747,CCLE,CCLE,uno
rmse,2,0.07207386748294822,CCLE,CCLE,uno
rmse,3,0.07228426850075385,CCLE,CCLE,uno
rmse,4,0.07319824827425973,CCLE,CCLE,uno
rmse,5,0.07389937642588369,CCLE,CCLE,uno
rmse,6,0.0737115767306442,CCLE,CCLE,uno
rmse,7,0.06995210764119533,CCLE,CCLE,uno
rmse,8,0.07498118048197554,CCLE,CCLE,uno
rmse,9,0.07097866202024995,CCLE,CCLE,uno
pcc,0,0.9021120632103259,CCLE,CCLE,uno
pcc,1,0.8896227178595959,CCLE,CCLE,uno
pcc,2,0.8987096764270409,CCLE,CCLE,uno
pcc,3,0.903115723104689,CCLE,CCLE,uno
pcc,4,0.8902556618824999,CCLE,CCLE,uno
pcc,5,0.8904052622818879,CCLE,CCLE,uno
pcc,6,0.8885754075986081,CCLE,CCLE,uno
pcc,7,0.89935314490185,CCLE,CCLE,uno
pcc,8,0.8937575464157302,CCLE,CCLE,uno
pcc,9,0.8897806433090111,CCLE,CCLE,uno
scc,0,0.8137128562621253,CCLE,CCLE,uno
scc,1,0.8020333696891487,CCLE,CCLE,uno
scc,2,0.8014264281871452,CCLE,CCLE,uno
scc,3,0.7974590468315644,CCLE,CCLE,uno
scc,4,0.8134740058186144,CCLE,CCLE,uno
scc,5,0.7765095914157957,CCLE,CCLE,uno
scc,6,0.8164352384174787,CCLE,CCLE,uno
